text,label,target
উন্নতির নামে মহাষড়যন্ত্র শুরু হয়েছে। শকুনের মতো হামলে পড়েছে চীন রাশিয়া জাপান ভারতের কালো শকুনেরা। দেশ আর দেশ নেই বরং একটা বাস্প। ধীরে ধীরে বাস্প আরো মোটাতাজা এবং বিস্ফোরণমুখী হচ্ছে। উন্নতির নামে বিদেশি চোরেরা যা খুশি করছে। বড় বড় হোটেলগুলো বিদেশি গেস্ট দিয়ে ঠাসা। প্রত্যন্ত অঞ্চলে বিদেশি কর্মী দিয়ে ভরা। এর মাধ্যমে জাতি কি পেলো তারা কি জানে?,Geopolitical,3
"ধর্ম নিরপেক্ষতার নামে মুসলমান মেয়েদের অপমান, আর কতো? ",Religious,2
বাবুনগরী তুমি এগিয়ে চলো রক্ত দিব তোমার সাথে ,Religious,2
স্টক এক্সচেঞ্জে হামলার পেছনে ভারত রয়েছে: ইমরান খান ,Geopolitical,3
বার্মায় প্রতিদিন হাজার হাজার মুসলিম রোহিঙ্গাদেরকে হত্যা করা হচ্ছে কিন্তূ তাদেরকে আশ্রয় না দিয়ে তাদের প্রতি কোন সমবেদনা তিনি জানান না অথচ ভারত ট্রেন দুর্গটনা করছে তাতেই তিনি সমবেদনা জানাতে ম্রিয়মান। কিন্তূ মুসলিম প্রতি নেই কেন কোন সমবেদনা? ভারত থেকে ভেসে আসা একটি হাতিকে বাঁচাতে সরকার আর মিডিয়ার কত আয়োজন ছিল আমরা দেখলাম অথচ মায়ানমারের বৌদ্ধ সন্ত্রাসীদের হামলা থেকে প্রানে বেঁচে আসা আরাকানি রোহিঙ্গা মুসলমানদের এতোটুকু মাথা গোজার আশ্রয় দেয়ার মত কেউ নাই বরং সাগরের পানিতে ভেসে আসা এই মানুষগুলো,Geopolitical,3
কললিস্টে আওয়ামী লীগের এমপি মন্ত্রীরা সবাই আছে এটা আমাদের জন্য খুবই দুঃখজনক ,Political,1
যিশু যদি ইসলাম ই হলো ।ইসলাম আর খ্রিষ্টান এদের বিবাদ কেন।।,Religious,2
বিশৃঙ্খলা তৈরির জন্য ভাস্কর্যের বিরোধিতা।,Personal,0
ছাত্ররা যেন বুড়ো হয়ে গেলেও ছাত্রলীগ না করেন তাই যুবলীগ।,Political,1
হারামি বাংলাদেশী মুসলিমদের মেরে ফেলা উচিত,Religious,2
ভারতীয় সীমান্তরক্ষী বাহিনী বিএসএফ চীন সীমান্তে দুইজন চীনা নাগরিককে গুলি করে কি হত্যা করতে পারবে? নিশ্চই না। চীনা নাগরিককে গুলি করে হত্যার সঙ্গে সঙ্গেই যুদ্ধ শুরু হত। পাক ভারত সীমান্তেও ভারতীয় সীমান্তরক্ষী বাহিনী এই দুইজন পাকিস্তানী নাগরিককে গুলি করে হত্যা করতে পারবে না। বাংলাদেশ ভারতের বন্ধু রাষ্ট্র বাংলাদেশ ছোট রাষ্ট্র পাকিস্তান চীনের মতো শক্তি বাংলাদেশের নাই। মানলাম যে দুজন বাংলাদেশি বিএসএফের গুলিতে নিহত হয়েছে তারা চোরাকারবারি মাদক ব্যবসায়ী হয়তোবা তারা গরু আনতে গিয়েছিল ভারতের সীমান্তে।,Geopolitical,3
তবুও আমি তরে নিয়া যামু শুয়োরের বাচ্চা।,Personal,0
"মেয়েটার পোশাকের মাপ দেখেছো, কতটা পেট দেখা যাচ্ছে তুমি একদম ঠিক বলেছো, আজকালকার মেয়েগুলো নির্লজ্জ",Personal,0
ধন্যবাদ আমাদের নেতাদের নিজ দেশের বীর সন্তানরা খেতে পায়না আর ভারতীয় দাদা বাবুদের দেবে কোটি টাকা।,Geopolitical,3
"কাটা নুনু মিথিলার জন্য একটু কম হয়ে যায়, তাই পুরাটা নেওয়ার জন্য গেছে ",Personal,0
টাকার জন্য যে ঈমান বিক্রি হয় এটা তার প্রমান। ,Religious,2
"তবে আর যাই বলো তোদের নিরামিষ খাওয়া মা বোন গুলা সেই,আর তোদের হট সেক্সি দেবি গুলা আহহ সেই সেক্সি যেভাবে সাজিয়ে গুজিয়ে  রাখিস সেই হট লাগেরে,ইচ্ছে করে আমার ১০ ইঞ্চি শিবলিঙ্গটা ঢুকিয়ে দেই।",Religious,2
তারপর নায়ক এক এক করে সব গুন্ডাকে মারতে থাকে। গুন্ডা আর নায়ক।,Personal,0
যুদ্ধ হলে পাকিস্তান কে ৫ মিনিট এর মোধ্য দুনিয়ার ম্যাপ থেকে মুছে ফেলব ,Geopolitical,3
হিন্দুত্ববাদী জঙ্গি সংগঠন ইসকনকে নিষিদ্ধ চাই।,Religious,2
অশ্লীলতা আর বেহায়াপনা ছাড়া আর কিছুই না ,Personal,0
এবার বুঝে নিন এই মাগি কেন মাদ্রাসার বিপক্ষে ,Religious,2
অন্যের ফোনের সব কিছু হ্যাক করুন নাম্বার ছাড়া।,Personal,0
ঐ বালের হাইব্রিড সাবমেরিন ভারত পাত্তা দেয় না বাংলাদেশের হাইব্রিড রিক্সা ও এর চেয়ে ভাল চলবে।,Geopolitical,3
"দূর্গা পূজা হিন্দু ধর্মেই সার্বজনিন নয়, অন্য ধর্মের জন্য সার্বজনিন হয় কিভাবে?",Religious,2
"আওয়ামীলীগ একটি ইন্ডিয়ান পণ্য ভারতীয় পণ্য বর্জন করি, আওয়ামীলীগ দিয়ে শুরু করি ",Geopolitical,3
"ছাত্রলীগ ছাত্রদল ভাই ভাই, মোবাইল অস্ত্র আগেরটাই।",Political,1
এই মালাউনরা বাংলাদেশের সাফল্য দেখে হিংসা করে।বাহির দেশে বাংলাদেশিদের দেখতে পারে না এই একটি মাএ জাতি।সুতরাং সাবধান।,Religious,2
এই রাষ্ট্রীয় সন্ত্রাসের শেষ কোথায়? মা-বাবার সামনে থেকে তুলে নিয়ে শিবির নেতাকে হত্যা ,Geopolitical,3
"পাকিস্তানের কারনে আজ আমরা নিরাপদে আছি কারণ পাকিস্তান মানেই ভারত ভেঙ্গে মুসলমানের দেশ, ভারতের হিন্দুরা এখন এটাকে কি নাম দেবে  ",Personal,0
"উল্টা পাল্টা উত্তর লেখার পর যে প্রশ্নটা জিজ্ঞেস করতে পছন্দ করে শিক্ষকরা তা হলো, তোমার মাথা টাথা কি ঠিকঠাক আছে নাকি?",Personal,0
"মাহি বি চৌধুরী জাতীয় বেইমান, ",Political,1
এই নিউজটা যে ভারতের দালাল এটা বোঝা যাচ্ছে,Geopolitical,3
কাঠমোল্লা জাকের নাইকের জুতার সমান মূল্য তোর নাই। ,Religious,2
আচ্চা মানলাম ধর্ষণ করার পর মারা হয়েছে মেয়েটিকে। কিন্তু আপনি কি বলতে পারবেন মেয়েটা শালীন ছিল?,Personal,0
একই দিনে তিনটা নারী নির্যাতন কেস।,Personal,0
জামায়াত-শিবিরের কবর রচনা করা হবে - নৌ-পরিবহন মন্ত্রী শাজাহান খান।,Geopolitical,3
"থানায় চলছে অঘোষিত রিমান্ড, আইন-শৃঙ্খলা বাহিনীই মানছে না আইন। এ কোন বর্বর রাষ্ট্রে বাস করছি আমরা?",Personal,0
জামাইষষ্ঠীর নেমন্তন্ন না পাওয়ায় উঠোনে শুকোতে দেওয়া শশুরের লূঙ্গি চুরি করে পলাতক জামাই।,Personal,0
উত্তরবঙ্গ সহ দক্ষিণ পশ্চিম রেলপথ যোগাযোগ ঘন্টা বন্ধ কারো কোনো মাথাব্যথা নেই আর ভারতে কি হলো তার খবর ঠিকেই রাখছে নেএী,Geopolitical,3
মৃত্যুপুরী যুক্তরাষ্ট্র ২৪ ঘন্টর রেকর্ড ১৯৭০ জনের প্রাণহানি।,Personal,0
আর এরা ছিঃ কোন বলার মত ভাষা রাখলো না এতো নোংরামি ছিঃ ,Personal,0
শফি সাহেব কেন প্রধানমন্ত্রীর সাথে হাত মেলালেন? এই নিয়ে সমালোচনার ঝড়।,Personal,0
আনুশকার মা কি পাগল হয়ে গেল দিহান সম্পর্কে এসব কি বলছে?,Personal,0
এই পুরোহিতের  বক্তব্য  শুনে কি হুশ হবে না তাদের  যারা মুসলমানদের গালি দেয়??,Religious,2
"নিজেদের মধ্যে কাদা ছোড়াছুড়ি করবেন না, তাই ছাত্রলীগ এখন গুলি ছোড়াছুড়ি করে ",Geopolitical,3
"ওমাগো, এ কেমন অবস্থা, ট্রু লাভ আরকি? ",Personal,0
"অবরোধ, বিক্ষোভ জেলায় জেলায়। রাজ্যে সরকারের অনুরোধে নামল সেনা।",Political,1
বাংলাদেশতো ত্রখন ভারতের কন্ট্রোলে হাসিনা তাদের পুতুল যেমনি না ছাত্র তেমনি নাছে,Geopolitical,3
মালাউন কা বাচ্চা ঐ টা হািসনার বাংলা নয় পািকস্তান।আর ঐটা পদ্মা নদী নয়।পাকিস্তান আমলে ফারাক্কা চালু কর েত পার ছিল তোর গো মাতারা?,Religious,2
 ও বালের পরোয়ানা কোন কামে লাগবে না খালেদা জিয়ার ,Personal,0
"দাদা, আমার ছেলে জয়ের হাজার কোটি টাকা লুটের খবরতো দেশবাসীর মুখে মুখে, নিজামীর ফাঁসী দ্রুত কার্যকর করেন। দেশব্যাপী খালেদা জিয়ার নামে মানহানি মামলা করুন।",Political,1
"পুলিশ একদিনে ১৮০০ জঙ্গি ধরে, কিন্তু ৬ জন জঙ্গিকে ধরতে আর্মি প্রয়োজন হয়।",Personal,0
বিএম কলেজের এই অধ্যক্ষকে লাঞ্চিত করার রায় কি হয়েছে জানেন? বেকসুর খালাস ,Personal,0
আমি চাইনা এই বেইমান মাগীরা আর কোন বেইমান সন্তান জন্ম দেক!,Personal,0
সারা দেশের কুত্তায় মুখ দিয়েছে। তাই তার সামনের দুইটা এত বড় ,Personal,0
মঙ্গল শোভাযাত্রা সবার ওপর চাপিয়ে দেয়া হচ্ছে এটা ইসলাম ও বাঙালি সংস্কৃতির পরিপন্থি,Religious,2
"তুই কিসের নাস্তিক,নাস্তিক হতেও লজিক জ্ঞান লাগে, তুই তো ইহুদিদের দালাল টাকার বিনিময়ে সব দিতে পারিস",Religious,2
"আল্লাহ সকল অহংকারীকে উচিৎ শিক্ষা দিয়েছেন, দিচ্ছেন এবং ভবিষ্যতেও দিবেন।",Religious,2
"বদলা নিতে মরিয়া পাকিস্তান,  ছেড়ে দিবে না তারা।",Geopolitical,3
চুরির পরিমাণ অভিযোগের চেয়ে অনেক বেশি ,Personal,0
জুয়েল রানা না মরিয়া প্রমাণ করিল সে জঙ্গি নয় কিন্তু জঙ্গি বলে যাদের হত্যা করা হলো তারা কি আদৌ জঙ্গি ছিল সেটা প্রমান করিবে কে?,Personal,0
এ মাগির পুলা তুই চুর কিসের দেশ নায়ক তোর মারে চুদল পাকিছতানিরা তুইআবার বড় বড় কথা বলিস,Political,1
"আপনাদের মত মূর্খ,সরি!!! ভন্ড মুসলিম কি জানে মহাভারত সম্পর্কে???",Religious,2
একজন খেলোয়াড়দের ফোকাস সরিয়ে দেওয়ার জন্য একটা নারীই যথেষ্ট এটা ভারতের লাগামহীন বলিউড নয় যে বিরাট কোহলীর মত অনুশকা কে নিয়ে হোটেলে থাকা যাবে আর আল আমীন মনে হয় অস্ট্রেলিয়ার শাস্তির কথা ভুলে গেছে এবারের ভুল তার ভবিষ্যতে জাতীয় দলে আসার পথে একটি বিরাট বাধার কাজ করবে,Geopolitical,3
এজন্য কয়েকদিন পর পর স্বামী চেঞ্জ করেই ,Personal,0
গরম ডিমের স্মৃতি আজও তাড়া করে তাই নির্বাচনে সেনাবাহিনী চায় না আওয়ামীলীগ।,Geopolitical,3
আল্লামা আহমদ শফীকে নিয়ে অনভিপ্রেত বিতর্ক বন্ধ করুন।,Personal,0
এদের কে ফাঁসি দেওয়া ভালো হয়েছে ,Personal,0
গরমে ছেলেরা হাওয়া খায় পেন্ট পরে আর মেয়েরা হাওয়া খায় পেন্টি জাগিয়ে ,Personal,0
"গর্ত থাকলে সাপের অভাব হয় না, অর্থ থাকলে গর্তের অভাব হয় না ",Personal,0
আওয়ামীলীগ-বিএনপি'র রাজনৈতিক বলয়ের বাইরে গিয়ে রাজনীতিতে প্রতিষ্ঠিত হওয়া নুরুল হক নুরের পক্ষে সম্ভব হবে বলে মনে হয় না।,Political,1
ভারত কাউকে টাকার জিনিস দিতে বার ঢেকুর গিলে পাশাপাশি গুণ লাভের হিসাব কষাকষি তো আছেই,Geopolitical,3
ওঁকে জুতার মালা আর গো মুত্র প্রদান করা হোক । ভারত সালের পর থেকে শুধু বাংলাদেশের খতি করেছে এবং চেয়েছে। ভারতের মত তথাকথিত বন্ধু দেশের চাইতে বন্ধু হীন থাকাই ভাল ।,Geopolitical,3
এই মাগির ফুত মুসলিম ধর্ম নিয়ে ভাড়াবাড়ি করিছনা ,Religious,2
মাহি কোন চেটের বাল মেম্বার হবার যোগ্যতা আসেনি শাওয়ার পুতের ,Political,1
খানকিছেলে শুধু না এদের ফেমেলি শেষ করে দেওয়া দরকার ভালো লাগলো ,Personal,0
৩ নাম্বার মাল টার পাজামার ফিতা বের হয়ে আছে,Personal,0
"বিকৃত স্টাইলে ধর্ষণের কারনে মারা গেছে, মাস্টারমাইন্ড স্কুলের ছাত্রী আনুশকা নুর আমিন।",Personal,0
"আওয়াজ তুলুন স্লোগান চাই, যদি আসে মোদি, তাহলে ছেড়ে দে গদি।",Geopolitical,3
পৃথিবী দংশের জন্ন এসব পরিচালক ই যতেস্ট ,Personal,0
আনুশকা ও দিহানের ধর্ষনের ৩য় দফায় গোপন কল রেকর্ড ফাস। কে আস দোষী ? কি প্লান ছিলো তাদের?,Personal,0
নওশীন আপুর দুদু দেখলে মাথা ব্যাথা করে ,Personal,0
"তারপর রাগে, কষ্টে, অপমানে, ঘৃণায় রুপার স্বামী হিমুকে খুন করার প্লান করলাম।",Personal,0
 বাংলাদেশি জঙ্গি জামাতি শুওরের যে কারণে পাকিস্তান কে সাপোর্ট করছে এদের জন্মটাই ত এ পাকি সেনাদের বীর্যে। এদের কুমারী আম্মুর এ দের আকাম কুকামের ফসল হল এরা বাংলার রাজাকারদের জাতীয় পেশাই ছিল পাকিদের ডান্ডায় তেল মালিশ করা। তাই রাজাকারেরা তাদের স্ত্রীদের পাকি সেনা ছাউনিতে শুতে পাঠাত। তাদের গর্ভে জন্মানো গুলো এখানে ভেউ ভেউ করে পাকিরা বাংলার মুসলিমদের মুর্খ ভাবত তাই তাদের আম্মি চাচীদের ভোদায় বীর্য ঢেলে তাদের খাঁটি মুসলিম করার কার্যসিদ্ধি করা হয় পাকিরা স্বভাবে জঙ্গি জাতি। ত জং ,Political,1
"গণ পরিবহনের দালাল, ড্রাইভার মালিকদের ঘাতক, ইলিয়াস কাঞ্চনের দুই গালে, জুতা মারো তালে তালে।",Personal,0
"মিজানুরের দুই গালে,  জুতা মারো তালে তালে।",Personal,0
স্বাধীনতা তুমি সীমান্তে গিয়ে হাসিমুখে লাশ গ্রহণ।,Geopolitical,3
এ গাভীটা নিশ্চয় কোন এমপি মন্ত্রীর ও প্রশাসনের বড় অফিসার দের খাট কাপায় পাপিয়ার মত।,Personal,0
"৫মে রোববার, মধ্যরাতে গুলিবিদ্ধ অবস্থায় পড়ে আছে কয়েকজন হেফাজত কর্মী ",Religious,2
কুলাঙ্গার নিক্সন চৌধুরী আলেমদের কে বলে আসেন খেলা হবে।,Personal,0
আজাইরা আলাপ কম কইরা পারলে ভালা কিছু নিয়া কথা কইয়া দেখাইও ফাউল মিয়া,Personal,0
বাস ভারত দুবাই মাড়িয়ে এবার বুদধং শরনং গচছামী।সংঘং শরনং গচছামী।,Geopolitical,3
"মাগি খানকি তোর কি মা, বাবা, ভাই,বোন নাই মাগি ",Personal,0
একটা তীর ধনুক থাকলে হোগার উপর মেরে দেখিয়ে দিতাম অর্জুন কাকে বলে ,Personal,0
ভারত বেচারা অনেক ভয়ে আছে তাই সব সৈন্য পাকি সীমান্তে মোতায়েন করেছে,Geopolitical,3
তুমি বড় বাল হয়ে গেছো বেয়াদপ মহিলা তোর প্রচুর হিংসা আর অহংকার ,Personal,0
"আগ্রাসী ভারত চায় চুক্তি, বাংলাদেশের মানুষ চায় মুক্তি ",Geopolitical,3
খালেদা রাজাকারদের নিয়ে সংসদে বসে ছিল তাতেও আমাদের বেশি ভালো লেগেছিলো,Political,1
"মাদারচোদ শালারা ধর্ম নিয়া ব্যবসা করে,  ",Personal,0
এই সেই বাড়ি যেখানে ধর্ষন হয় আনুশকা।,Personal,0
"বোনের ধর্ষনের প্রতিশোধে ধর্ষন, এটা আবার কেমন প্রতিবাদ?",Personal,0
ভারতের মুখে মধু অন্তরে বিষ।,Geopolitical,3
এই দুই মাগির ভোদার খাইজ উটছে সবাই চুদে দাউ ,Personal,0
রানু তো একটা ফকিন্নি ওকে জুতার বারি সে মানুষের সাথে ভালো ব্যবহার করতে পারে না শালী চাকর কাকে বলিস ,Personal,0
"ধানের বীজ কৃষকরা পাবে না, পাবে নেতারা। এ আমার বিশ্বাস।।",Political,1
"হাসপাতালের সিসিটিভি ফুটেজ ভাইরাল, আনুশকার বাবা অজ্ঞান, হুইলচেয়ারে আনুশকার লাশ, আনুশকার মায়ের আহাজারি।",Personal,0
মুক্তিযুদ্ধের নামে লুন্ঠনকারী দুর্নীতিবাজ রগচটা বদমেজাজী আ ক ম মোজাম্মেল হককে আপনারা আবারো আওয়ামীলীগের মন্ত্রী হিসেবে দেখতে চান?,Political,1
ছবি মানুষ দেখে নাকি খানকিরা যৌনতা দেখায়।,Personal,0
এখন ভারত চুপ কেন? কোথায় মোদি।,Geopolitical,3
 মিথ্যা কথা খালেদা জিয়া এখনো অভিন্দন জানায়নি। ,Personal,0
জয় নাকি গত ৩-৪ বছরের ওয়াশিংটন যায়নি! এজন্য তাকে বাপকা বেটা না বলে মা কা বেটা বলে সে যে বড় মিথ্যাবাদী তা প্রমাণ হলো ,Geopolitical,3
পাকিস্তান তৈরি আছি লুকাবে কোথায় ভারত,Geopolitical,3
চুরি ডাকাতি তো করে না এই আপনাদের মত মানুষের শরীরের খিদে মেটায় ,Personal,0
আজাহারী যে জঙ্গি আস্তানার বীজ বপন করে গেছে এ জন্যই তাকে বাংলাদেশ থেকে পালিয়ে বেড়াতে হচ্ছে। শালা জঙ্গি,Religious,2
শামিম এর এক্টিং বডিল্যাংগুয়েজ নির্ভর।ভাড়ামী মাত্রাতিরিক্ত,Personal,0
"তেমন কিছু না, এর কিছুদিন পর আমিও প্রেমে ব্যার্থ হয়ে সুইসাইড করলাম।",Personal,0
 ছাএ শিবিরের সময় উপযোগী একটি উদোগ। বিরোধিতার জন্য বিরোধিতা না করে সকলে একত্রে এই কর্মসূচি তে অংশগ্রহন করা দরকার। বার্মার মুসলমানরা আওয়ামিলীগ বিএনপি বা জামাতের না। তারা পৃথিবী সকল মুসলমানদের ভাই বোন। ,Political,1
হিন্দু নির্যাতিত হলে ভারতের কলিজায় আঘাত লাগে,Geopolitical,3
রানু মণ্ডল কি আগে থেকে জেনে গেছে নাকি যে আমি এত বড় সিংগার হবে অমি আসলে জানতাম ৱানু হল হিমেশেৱ পায়খানা চাটা কুকুৱ ,Personal,0
হিন্দু নির্যাতিত হলে ভারত কাঁদে খ্রিস্টান হলে আমেরিকা কাঁদে,Geopolitical,3
মালাউন নিয়ে আমি কথা বলতে চাইনা,Religious,2
মাহি শুয়োরের বাচ্চা অটিস্টিক জয়ের এজেন্ট ,Political,1
এই নিষেধাজ্ঞার ফলে দরিদ্র দেশগুলোকে করোনা টিকার জন্য কয়েক মাস অপেক্ষা করতে হতে পারে।,Personal,0
হযরত মুহাম্মদ ও কুত্তা বিলাই। ইসলাম ধর্মের প্রিয় নবীকে কটুক্তি।,Religious,2
